pseudo_id,text,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,createdAt,lang,isReply,pseudo_conversationId,pseudo_inReplyToUsername,pseudo_author_userName,author_isBlueVerified,predicted_label
759506718396250,"TINGNAN Nag-post ngayong araw si Senador Ronald Bato Dela Rosa ng kanyang get up look habang siya ay nasa Europa. Sa kanyang caption, sinabi nito na malamig pa rin pala daw sa naturang lugar. I via @981724042570614 [LINK]",0,0,0,0,18,0,2025-05-24 03:00:06+00:00,tl,False,759506718396250,,109044924689492,True,
205983270166610,"Juiceko ko, ano na Pilipinas? #Eleksyon2025 #Election2025PH",0,0,0,0,193,0,2025-05-12 13:45:14+00:00,tl,False,205983270166610,,594491802576054,False,
4829151711777,bumoto ng tama. bumoto nang tama. [LINK],0,0,1,0,49,0,2025-05-12 07:45:44+00:00,tl,False,4829151711777,,435056207526495,False,
229028569639745,"#Eleksyon2025 @970533999448341, handa na para sa maayos na pangangasiwa sa pagboto ng mga person deprived of liberty PDL sa labas ng mga piitan sa darating na eleksyon. via @483679448210925 [LINK]",1,0,2,0,221,0,2025-05-07 07:25:32+00:00,tl,False,229028569639745,,430526661831933,False,
48765088884428,abangers kahit madidisappoint lang ako. makapasok lang kahit 2-3 [EMOJI smiling face with tear] #Halalan2025,0,0,0,0,1235,0,2025-05-12 12:12:14+00:00,tl,False,48765088884428,,397271647379442,False,
888590530743814,So ginawang Holiday ni Bangag Jr ang araw ng eleksyon! Hay naku may kutob ako na may gagawin silang maniobra sa araw na yan kaya ginawa nilang Holiday! #elections2025 #midtermelection,0,0,1,0,21,0,2025-05-07 19:26:27+00:00,tl,False,888590530743814,,514871437591129,False,
151620527829155,@553675284576844 HAHAHA i mean okay lang naman maging sensitive pero wag naman sa maling bagay [EMOJI loudly crying face][EMOJI loudly crying face] kung tutuosin mas maraming bagay pa kailangan tuonan ng pansin kagaya ng eleksyon ngayon [EMOJI grinning face with sweat],0,0,0,0,22,0,2025-05-12 07:22:34+00:00,tl,True,906787403422753,553675284576844.0,264570027145461,False,
517498765975522,Anong thought process ng mga taong bumoto sa PDP tsaka mga artista?,0,0,0,0,6,0,2025-05-12 13:00:34+00:00,tl,False,517498765975522,,65396776911450,False,
269568058795468,"Iprinoklama bilang mayor ng Malabon City si Mayor Jeannie Sandoval, ngayong araw Mayo 13. Umabot sa 92,621 ang bumoto sa kaniya, base sa partial at unofficial results mula sa Comelec, habang nakakuha naman ng 50,409 na boto ang kaniyang katunggaling si Jaye Lacson-Noel. [EMOJI camera] Jeannie Sandoval #NET25NewsandInformation #MataNgHalalan2025 #Malabon #JeannieSandoval",0,0,2,0,162,0,2025-05-13 00:27:23+00:00,tl,False,269568058795468,,855420128935000,True,
65673234668751,"Good Morning ! Gusto natin ng payapang fangirling , di ba ? Simulan sa sarili natin at iyong issue kahapon ay iwasan na natin buksan pa. Sa daming parating na aabangan at magiging busy sa Tp , botohan at personal na buhay wala na tayo dapat lugar pa na makisawsaw sa mga issues.[EMOJI smiling face with open hands]",5,2,43,0,633,0,2025-03-12 02:05:36+00:00,tl,False,65673234668751,,521674146828602,False,
