pseudo_id,text,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,createdAt,lang,isReply,pseudo_conversationId,pseudo_inReplyToUsername,pseudo_author_userName,author_isBlueVerified
356180806797055,Oa? Pano ba sila bumoto? Totoo naman ah hahahaha. Alam na din naman nila yan sa sarili nia.,0,0,0,0,254,0,2025-04-24 15:04:49+00:00,tl,False,356180806797055,,997111849537828,False
957744086043784,Meron tayong 26.46m na obob na bumoto rolling on the floor laughing,0,0,1,0,38,0,2025-05-13 08:14:42+00:00,tl,False,957744086043784,,452345681554690,False
569218482066218,@505173227680197 Parang awa na mga pinoy bumoto ng wasto huwag padala sa bigyan ng jacket yan,0,0,0,0,196,0,2025-05-04 22:49:56+00:00,tl,True,483579866194570,,934699683859594,False
877549167437414,"@975404515899393 ewan ko ba kung bakit binoboto pa yung mga ganyang klase ng mga tao,GISING MGA BOTANTE!",0,0,1,0,68,0,2025-04-26 00:50:16+00:00,tl,True,923802769791378,975404515899393.0,594701982075206,False
441943298796372,"UPDATE Comelec postpones the reprinting of ballots scheduled for tomorrow due to the withdrawal of senatorial aspirant Francis Leo Marcos from the race. Comelec Chairman George Garcia Dahil dito sa pagwiwithdraw niya, hihingi muli kami ng mga dalawa hanggang tatlong araw. Sapagkat muli naming babaguhin yung database ng Comelec, isi-serialize muli namin yung balota, yung mga ballot faces muli naming babaguhin @150894323973446 camera Comelec",0,0,1,0,1965,0,2025-01-23 08:25:27+00:00,tl,False,441943298796372,,325002683734926,True
401248733833759,"Only two precincts are designated for barangays Sta. Maria and Imelda in San Jacinto, Pangasinan. Voters have been lining up for hours under extreme heat since morning, according to the report by poll watchers. Contributed video by Tanggol Magsasaka #Halalan2025 [LINK]",3,0,4,0,1081,0,2025-05-12 09:01:50+00:00,en,False,401248733833759,,952587741131285,False
21982253644702,Former vice president Leni Robredo and Senator Risa Hontiveros are set to join the event. @958550112491542 @579503535584304 #Halalan2025 [LINK],0,0,0,0,95,0,2025-03-06 09:29:24+00:00,en,True,441834228347012,668081257811326.0,668081257811326,False
516592375620936,@888106308374720 @211350897185185 Dapat kinuha na sya nung bumoto sya e lol,0,0,2,0,328,0,2025-05-13 00:57:31+00:00,tl,True,860223346677054,888106308374720.0,783319429611189,False
886897369735972,Reelectionist Sarangani Governor Ruel Paquiao and rival Bong Aquia both managed to stage massive shows of force as both candidates wrapped up their campaign in Alabel town Friday evening. [LINK],0,0,0,0,8,0,2025-05-10 10:24:54+00:00,en,False,886897369735972,,657186482797982,False
462160389396576,putangina ng mga bumoto kay imee marcos? TANGINA ANOTHER MARCOS?!?!,0,1,0,0,39,0,2025-05-12 13:58:27+00:00,tl,False,462160389396576,,197919376065580,False
